question,answer
"What is the difference between factors, factor levels, and treatments?","Factor is another way of referring to a categorical variable <https://libanswers.lib.miamioh.edu/stats-faq/faq/336907/?m=p>. Factor levels are all of the values that the factor can take (recall that a categorical variable has a set number of groups). In a designed experiment, the treatments represent each combination of factor levels. If there is only one factor with k levels, then there would be k treatments. However, if there is more than one factor, then the number of treatments can be found by multiplying the number of levels for each factor together.

For example, say you have two factors, exercise type and post-exercise snack. Exercise type has four levels (running, swimming, weightlifting, kickboxing) and snack has three levels (banana, granola bar, protein shake). If we multiply 4 by 3, we get 12 treatments, which can be represented as follows:"
What are the advantages of the normal distribution?,"The first advantage of the normal distribution is that it is symmetric and bell-shaped. This shape is useful because it can be used to describe many populations, from classroom grades to heights and weights. The normal distribution (and related distributions) are also the easiest to use of the bell-shaped distributions. The standard normal density curve (with mean = 0 and standard deviation = 1) is pictured below.[Image: The plot below shows the distribution of the standard normal distribution. It is symmetric and unimodal, with a center at zero.]

The other main advantage of the normal distribution is the Central Limit Theorem. This theorem states that when the sample size is very large, the sample mean will generally follow a normal distribution even if the original population is not normally distributed. This means that we can often use inferential statistical methods that assume normality, even if the data in our sample doesn’t follow a normal distribution.

R Code for Graph:

x <- rnorm(10000000)

ggplot(data.frame(x=x)) + geom_density(aes(x=x)) + scale_x_continuous(breaks = c(-3,-2,-1,0,1,2,3), limits = c(-4,4)) + theme_bw()"
What is the difference between uncorrelation and independence?,"Uncorrelation means that there is no linear dependence between the two random variables, while independence means that no types of dependence exist between the two random variables. For example, in the figure below \(Y_1\) and \(Y_2\) are uncorrelated (no linear relationship) but not independent.

[Image: The plot below shows graphically what uncorrelation (lack of linear dependence) but there still being some sort of dependence. The plot shows a parabolic curve that signifies some sort of quadratic dependence, however, if you were to fit a linear line to this plot it would be a flat horizontal line signifying no correlation.]

This means that independent random variables are always uncorrelated, but uncorrelated random variables may not be independent. In other words, independence is a stronger statement than uncorrelation."
How do I identify variables as numeric (quantitative) or categorical (qualitative)?," A categorical variable is a variable with a set number of groups (gender, colors of the rainbow, brands of cereal), while a numeric variable is generally something that can be measured (height, weight, miles per hour). It is easy to identify categorical variables when the groups are specified with words, because you can’t perform mathematical operations on a word. However, if the variable is represented numerically, it is important to consider the characteristics of the variable instead of automatically assuming it’s numeric.

Here are some criteria to consider:
-
Do the numbers represent categories? For example, gender is often coded with “0” and “1” in a dataset, but it’s still a categorical variable.

-
Is there a set number of possible values the variable could take? For example, the variable “number of car doors” will probably only have the values of “2” or “4”. In this case, the variable is categorical.

-
Is the variable measured on a continuous scale (another way of thinking about this is can it be measured)? Variables like height and weight are good examples of numeric predictors that meet this criterion."
What is the difference between continuous and discrete random variables?,"Discrete and continuous random variables <https://libanswers.lib.miamioh.edu/stats-faq/faq/343626?m=p> have different ranges. The range of a discrete distribution is countable, while the range of a continuous variable is not. However, countable is not the same as finite. For example, in an experiment where the random variable is defined as the number of coin flips until the first head, the range is infinite but still countable.

A less mathematical way to describe the difference is to say that discrete random variables are used for counting, and continuous random variables are used for measuring. Discrete random variables are used for experiments such as flipping a coin or rolling a six-sided die, while continuous random variables can be used to describe variables like weight or income.

Mathematically, it’s important to remember that summation is used to find a range of probabilities for discrete random variables and integration is used for continuous random variables."
"What are the differences between nominal, ordinal, interval, and ratio data types?","Nominal and ratio data types are both used to describe categorical variables <https://libanswers.lib.miamioh.edu/stats-faq/faq/342540?m=p>. The difference between the two data types is that ordinal data has ordered categories (class rank, socioeconomic status, Likert scales, etc.), and nominal data (gender, ethnicity, etc.) does not.

Interval and ratio data types are both used to describe numeric variables. The key difference is that ratio data has a “true zero”. In other words, a value of zero signifies that the variable you’re describing doesn’t exist. Weight is an example of ratio data because if an object weighs zero pounds, it is weightless. Temperature in degrees Fahrenheit is an example of interval data because a temperature of zero degrees just means it’s really cold, not that the temperature doesn’t exist. 

Evaluate the data type using the following tree diagram: 

 


[Image: The tree diagram helps us decipher what kind data types we are working with. If the data is categorical, you can ask yourself whether the order matters. If it does, then it is ordinal, if it does not, then it is nominal. If the data is numeric, you can ask yourself whether the value of 0 means the quantity does not exist. If it does mean this, then you are dealing with a ratio data type, if it does not, then you are dealing with an interval data type.]





 "
How do I access the Libraries' subscription to the Wall Street Journal?,"Current faculty, staff, and students can activate their Miami University Libraries-sponsored Wall Street Journal account from any location on or off campus:
-Go to the WSJ registration page at https://partner.wsj.com/partner/miamiuniversity.
-Enter first and last name
-Select an Account Type from the dropdown: Student, Professor, or Staff
-Enter your email address and create a password. The email address and password will allow access on other devices outside of the university network.
-Click Create to complete registration and create your WSJ subscription.
-Once you have an account you can go directly to: https://www.wsj.com/


NOTE: Student accounts stay active until graduation date. Faculty and staff will be prompted to validate their memberships once a year with an email notification and a banner on the WSJ home page. 

If a user already has a personal WSJ subscription, it cannot be integrated into the university site license. Users with personal subscriptions should choose a different email address to register with via the university license or cancel their personal subscription before registering through the university license."
How do I identify variables as numeric (quantitative) or categorical (qualitative)?,"A categorical variable is a variable with a set number of groups (gender, colors of the rainbow, brands of cereal), while a numeric variable is generally something that can be measured (height, weight, miles per hour). It is easy to identify categorical variables when the groups are specified with words, because you can’t perform mathematical operations on a word. However, if the variable is represented numerically, it is important to consider the characteristics of the variable instead of automatically assuming it’s numeric.

Here are some criteria to consider:
-Do the numbers represent categories? For example, gender is often coded with “0” and “1” in a dataset, but it’s still a categorical variable. 
-Is there a set number of possible values the variable could take? For example, the variable “number of car doors” will probably only have the values of “2” or “4”. In this case, the variable is categorical.
-Is the variable measured on a continuous scale (another way of thinking about this is can it be measured)? Variables like height and weight are good examples of numeric predictors that meet this criterion."
How do I find the front page of the New York Times for the day I was born?,"You can get the front page of the NYT for your birth date by using the New York Times Historical database from ProQuest.
-Go to Databases A-Z <http://www.lib.miamioh.edu/databases>.
-Find and click on New York Times Historical <http://www.lib.miamioh.edu/indexes/redirect/791>.
-Under ""Publication date"", choose ""On this date"".
-Choose the month, day and year of your birthday from the dropdown boxes.
-Under ""More Search Options"", ""Document type"", choose ""Front page article"".
-Click ""Search"".
-Open any article that appears in the search results.
-Click the ""Page view - PDF"" tab.
-Download the PDF using ""Download Page PDF"" link on the right."
How do I get access to the Washington Post online?,"As of December 31, 2017, the Washington Post no longer offers free access to the digital newspaper for those who have an ""edu"" e-mail address.

If you have a .gov or .mil email address, you are still eligible for a free subscription to the Washington Post online <https://helpcenter.washingtonpost.com/hc/en-us/articles/115007248227-Start-a-free-subscription-with-a-valid-gov-or-mil-email-address> (National Digital + D.C. Edition).

Active K-12 educators and full-time and part-time US college students, graduate students, faculty, and staff are eligible for the Washington Post academic rate, available at https://subscribe.washingtonpost.com/acqlite/edu-offer/.

 "
How do I format my Miami University thesis or dissertation?,"Before students begin writing, they should review the Guide for Writing Theses and Dissertations, which details mechanics, formats, and procedures for preparing the thesis, dissertation, internship, or practicum report. These guidelines are established by the Graduate School and are available by contacting gradschool@miamioh.edu <mailto:gradschool@miamioh.edu> or visiting the Graduate Student Association Canvas site <https://miamioh.instructure.com/courses/16683>.

Master's Thesis

Use the format and style used by leading professional journals or style sheets in your discipline or professional field. You must also meet the Graduate School and OhioLINK format requirements.

All students submitting a thesis or dissertation must deposit it electronically at OhioLINK. Before beginning to write, you should email the Graduate School at gradschool@miamioh.edu <mailto:gradschool@miamioh.edu> for the template and instructions for mechanics and procedures from the Graduate School. Your thesis must be electronically deposited at OhioLINK at least 14 working days before commencement, or as determined by the Graduate School. The only paper submitted to the Graduate School by the student will be the original signature/title page on plain white copy paper.

Doctoral Dissertation
Before beginning to write, you should obtain a template and instructions for mechanics and procedures from the Graduate School. Generally, format and style used by leading professional journals in your field or A Manual for Writers (Kate L. Turabian) serves as a guide. Check your writing format early with the Graduate School to avoid any delay. A final format check and approval by the Graduate School are required before your dissertation is accepted and electronically deposited.

All students submitting a dissertation must deposit it electronically. Your dissertation must be electronically deposited at OhioLINK at least 21 working days before commencement or as determined by the Graduate School. The only paper submitted to the Graduate School by the student will be the original Certificate page (with original committee signatures) which is the first page of the dissertation."
